1,200,24376834,10,2022,1
2,190,24376834,10,2022,2
1,180,24376834,10,2022,3
2,170,24376834,10,2022,4
3,160,24376834,10,2022,5
1,160,24376834,10,2022,6
2,140,24376834,10,2022,7
4,160,24376834,10,2022,1
5,120,24376834,10,2022,2
6,110,24376834,10,2022,3
7,100,24376834,10,2022,4
8,90,24376834,10,2022,5
9,80,24376834,10,2022,7
10,70,24376834,10,2022,7
1,60,24376834,10,2022,9
2,50,24376834,10,2022,1
3,40,24376834,10,2022,1
7,30,24376834,10,2022,1
9,20,24376834,10,2022,3
10,10,24376834,10,2022,4
1,300,24376834,10,2022,9
3,310,24376834,10,2022,1
4,320,24376834,10,2022,2
5,330,24376834,10,2022,1
6,340,24376834,10,2022,1
